source_stage,runtime_scope,model_id,protocol_variant,hardware_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.0001586098103264997,9.249077325233585e-05,0.00013852199481334537,480,2000,0.00015058611665456797,0.00016724991657309106,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,5.647820435115599e-05,3.347938616721431e-05,4.387101216685174e-05,240,2000,5.248991414799132e-05,6.0907141872426904e-05,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00023608688752546996,0.0001501199686129499,0.00017534451035272625,240,2000,0.00021731674179124028,0.0002557845139834231,2000,0.95
primary_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.0017298457762081128,0.02346369424771039,0.0001638889953019529,240,2000,0.0002034039441605086,0.004776993839362452,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.9637677335846698,0.3145049934928564,1.0214720164804016,480,2000,0.9349604491732286,0.9926714808025539,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00013477024313031475,6.736843697454087e-05,0.00011911352339666337,480,2000,0.00012883366878964274,0.00014080005426268447,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.00015831214920265698,8.352567848078779e-05,0.00013959351053927094,480,2000,0.0001508330441461007,0.00016548045758544205,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,6.002157339630165e-05,3.228845582840167e-05,4.7078981878945214e-05,240,2000,5.6067145254314216e-05,6.419610089624781e-05,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.0002352588908251981,0.00012589797765441874,0.00017313499120152898,240,2000,0.00022014864157727452,0.000251605166225251,2000,0.95
primary_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,encoding_overhead_seconds,payload,0.005813421824010658,0.08620101644038415,0.00018156052101403475,240,2000,0.00023664690075432657,0.016962702137973826,2000,0.95
ablation_v2,trial,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,4.310167985573066,1.697934380824053,4.442867612155775,48,2000,3.8487493238632475,4.8025483930346216,2000,0.95
ablation_v2,trial,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,4.343629987499078,1.7228708159671597,4.463062674399804,48,2000,3.8765363553940393,4.844428689373658,2000,0.95
ablation_v2,trial,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,4.119621460930678,1.6384256357266296,4.244267685444356,48,2000,3.6819693153990176,4.5896455773367,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,2.5498964134155053,0.8412627151467309,2.5523515484819654,48,2000,2.3118944879494845,2.7963188777218875,2000,0.95
multilingual_v2,trial,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,GPU-10d1f16f-9e79-08bb-b2ba-3353c04422cf,decoding_overhead_seconds,payload,3.0201535278332208,0.9003770319119894,3.417815930719371,48,2000,2.76997529073166,3.2756306935536634,2000,0.95
